citation,reporting_entity,cadence,deadline,source,url,uslm_id
10 U.S.C. 119a(b),the Secretary,annual,February 1 each year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section119a&num=0&edition=prelim,/us/usc/t10/s119a/b
10 U.S.C. 119a(b)(2),the entity managing programs under alternative compensatory control measures,annual,,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section119a&num=0&edition=prelim,/us/usc/t10/s119a/b/2
10 U.S.C. 122a note,Secretary of Defense,event-driven,upon issuance of a waiver,note,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section122a&num=0&edition=prelim,/us/usc/t10/s122a/note/1
10 U.S.C. 125a,Secretary of Defense,annual,At the same time the budget of the President for a fiscal year is submitted to Congress,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section125a&num=0&edition=prelim,/us/usc/t10/s125a
10 U.S.C. 12681 note,Secretary of the Army,semiannual,Not later than April 15 and October 15 of each calendar year while the off-site agreement is in effect,note,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section12681&num=0&edition=prelim,/us/usc/t10/s12681/note/1
10 U.S.C. 127b(f),Secretary of Defense,annual,Not later than February 1 of each year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section127b&num=0&edition=prelim,/us/usc/t10/s127b/f
10 U.S.C. 127c,Secretary of Defense,semiannual,not later than 30 days after the end of the six-month period during which the authority is used,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section127c&num=0&edition=prelim,/us/usc/t10/s127c
10 U.S.C. 127d(i),the Secretary,biennial,not later than 120 days after the close of each fiscal year; not later than 180 days after the submittal of each report required by paragraph (1),provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section127d&num=0&edition=prelim,/us/usc/t10/s127d/i
10 U.S.C. 127d(j),the Secretary,quarterly,,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section127d&num=0&edition=prelim,/us/usc/t10/s127d/j
10 U.S.C. 127e(i),the Secretary,biennial,"Not later than 120 days after the last day of each fiscal year, and not later than six months after the date of the submittal of the report most recently submitted under paragraph (1)",provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section127e&num=0&edition=prelim,/us/usc/t10/s127e/i
10 U.S.C. 127e(i)(1),the Secretary,annual,not later than 120 days after the last day of each fiscal year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section127e&num=0&edition=prelim,/us/usc/t10/s127e/i/1
10 U.S.C. 127f(f),Assistant Secretary of Defense for Special Operations and Low Intensity Conflict,quarterly,quarterly,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section127f&num=0&edition=prelim,/us/usc/t10/s127f/f
10 U.S.C. 127f(g),Secretary of Defense,annual,Not later than December 31 each year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section127f&num=0&edition=prelim,/us/usc/t10/s127f/g
10 U.S.C. 133a note,Under Secretary of Defense for Research and Engineering and the Under Secretary of Defense for Acquisition and Sustainment,semiannual,March 1 and September 1 of each year,note,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section133a&num=0&edition=prelim,/us/usc/t10/s133a/note/0
10 U.S.C. 139a(g),Director of Cost Assessment and Program Evaluation,annual,"Not later than February 1, 2024, and annually thereafter",provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section139a&num=0&edition=prelim,/us/usc/t10/s139a/g
10 U.S.C. 139a(g)(3),Director of Cost Assessment and Program Evaluation,event-driven,not later than 15 days after the submission of each report required by paragraph (1),provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section139a&num=0&edition=prelim,/us/usc/t10/s139a/g/3
10 U.S.C. 139a(h),Director of Cost Assessment and Program Evaluation,quarterly,not later than 30 days after the date of the enactment of this subsection,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section139a&num=0&edition=prelim,/us/usc/t10/s139a/h
10 U.S.C. 148(d),Secretary of Defense,annual,fiscal year 2027 and each fiscal year thereafter,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section148&num=0&edition=prelim,/us/usc/t10/s148/d
10 U.S.C. 149(e)(7),Secretary of Defense,annual,not later than the first Monday in February of a fiscal year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section149&num=0&edition=prelim,/us/usc/t10/s149/e/7
10 U.S.C. 149(f)(4),Director of the Office of Strategic Capital; Inspector General of the Department of Defense,annual,March 1 of each year; 180 days after the end of fiscal year 2027,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section149&num=0&edition=prelim,/us/usc/t10/s149/f/4
10 U.S.C. 1491(g),Secretary of Defense,annual,not later than January 31 of each year beginning with 2001 and ending with 2005,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section1491&num=0&edition=prelim,/us/usc/t10/s1491/g
10 U.S.C. 1557(e),the Secretary of the military department concerned,event-driven,not later than June 1 following any fiscal year during which the Corrections Board of that Secretary’s military department was unable to meet the applicable timeliness standard,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section1557&num=0&edition=prelim,/us/usc/t10/s1557/e
10 U.S.C. 1561b,Secretary of Defense and the Secretary of the department in which the Coast Guard is operating when not operating as a service in the Navy,biennial,"April 30, 2023, and April 30 every two years thereafter (for DoD); April 30, 2026, and April 30 every 2 years thereafter (for Coast Guard)",provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section1561b&num=0&edition=prelim,/us/usc/t10/s1561b
10 U.S.C. 1561b(e),Secretary of the department in which the Coast Guard is operating,biennial,"April 30, 2026, and April 30 every 2 years thereafter",provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section1561b&num=0&edition=prelim,/us/usc/t10/s1561b/e
10 U.S.C. 1566(c),the Inspector General of the Department of Defense,annual,Not later than March 31 each year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section1566&num=0&edition=prelim,/us/usc/t10/s1566/c
10 U.S.C. 1599f(h),"Director of the Office of Personnel Management, in coordination with the Secretary",annual,Not later than one year after the date of the enactment of this section,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section1599f&num=0&edition=prelim,/us/usc/t10/s1599f/h
10 U.S.C. 1603(c),Secretary of Defense,annual,"Not later than December 31, 2020, and each year thereafter",provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section1603&num=0&edition=prelim,/us/usc/t10/s1603/c
10 U.S.C. 171a(e),"Council on Oversight of the National Leadership Command, Control, and Communications System",annual,at the same time each year that the budget of the President is submitted to Congress,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section171a&num=0&edition=prelim,/us/usc/t10/s171a/e
10 U.S.C. 171a(i),Secretary of Defense and the Chairman of the Joint Chiefs of Staff,annual,"Not later than March 1, 2017, and each year thereafter",provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section171a&num=0&edition=prelim,/us/usc/t10/s171a/i
10 U.S.C. 171a(j)(2),the co-chairs of the Council,semiannual,not later than seven days after the end of each semiannual period,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section171a&num=0&edition=prelim,/us/usc/t10/s171a/j/2
10 U.S.C. 172(e),the chair,annual,,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section172&num=0&edition=prelim,/us/usc/t10/s172/e
10 U.S.C. 1746a(e),President of the Defense Acquisition University,annual,"Not later than September 30, 2022, and annually thereafter",provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section1746a&num=0&edition=prelim,/us/usc/t10/s1746a/e
10 U.S.C. 1781c(g),Secretary of Defense,annual,April 30 each year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section1781c&num=0&edition=prelim,/us/usc/t10/s1781c/g
10 U.S.C. 1781c note,the foundation,annual,each year,note,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section1781c&num=0&edition=prelim,/us/usc/t10/s1781c/note/4
10 U.S.C. 1784(h),the Secretary of Defense,annual,Not later than February 28 each year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section1784&num=0&edition=prelim,/us/usc/t10/s1784/h
10 U.S.C. 1792 note,"the Secretary of Defense, in collaboration with the Secretaries of the military departments",annual,"Not later than 180 days after the date of the enactment of this Act [Dec. 23, 2024]",note,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section1792&num=0&edition=prelim,/us/usc/t10/s1792/note/1
10 U.S.C. 184,Secretary of Defense,annual,,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section184&num=0&edition=prelim,/us/usc/t10/s184
10 U.S.C. 193(a),Chairman of the Joint Chiefs of Staff,biennial,not less often than every two years,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section193&num=0&edition=prelim,/us/usc/t10/s193/a
10 U.S.C. 198,Director of the Office of Local Defense Community Cooperation,annual,Not later than June 1 each year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section198&num=0&edition=prelim,/us/usc/t10/s198
10 U.S.C. 199(g),the Director,annual,,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section199&num=0&edition=prelim,/us/usc/t10/s199/g
10 U.S.C. 2004c(j),the Secretary of Defense,annual,"Not later than March 31, 2027, and annually thereafter for five years",provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2004c&num=0&edition=prelim,/us/usc/t10/s2004c/j
10 U.S.C. 20203(b),Secretary of the Air Force,annual,December 1 of each year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section20203&num=0&edition=prelim,/us/usc/t10/s20203/b
10 U.S.C. 2031(j),Secretary of Defense,annual,"March 31, 2024, and annually thereafter through March 31, 2029",provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2031&num=0&edition=prelim,/us/usc/t10/s2031/j
10 U.S.C. 20701,Secretary of the Air Force,annual,December 31 of each year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section20701&num=0&edition=prelim,/us/usc/t10/s20701
10 U.S.C. 2111 note,Secretary of the Army,other,not later than Feb. 1 in each of 1998 and 1999,note,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2111&num=0&edition=prelim,/us/usc/t10/s2111/note/0
10 U.S.C. 2141 note,Secretary of Defense,quarterly,"quarterly for fiscal year 1981; not later than Dec. 31, 1981",note,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2141&num=0&edition=prelim,/us/usc/t10/s2141/note/3
10 U.S.C. 2162,Secretary of Defense,annual,annual budget request cycle,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2162&num=0&edition=prelim,/us/usc/t10/s2162
10 U.S.C. 2164b,the Secretary,annual,"Not later than April 1, 2025, and 90 days before announcing new installations",provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2164b&num=0&edition=prelim,/us/usc/t10/s2164b
10 U.S.C. 2164c(h),Secretary of Defense,annual,"Not later than one year after the date of the enactment of this section, and annually thereafter for four years",provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2164c&num=0&edition=prelim,/us/usc/t10/s2164c/h
10 U.S.C. 2167,Secretary of Defense,annual,before the start of that academic year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2167&num=0&edition=prelim,/us/usc/t10/s2167
10 U.S.C. 2203,Secretary of Defense,annual,each fiscal year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2203&num=0&edition=prelim,/us/usc/t10/s2203
10 U.S.C. 222,Secretary of Defense,annual,for each fiscal year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section222&num=0&edition=prelim,/us/usc/t10/s222
10 U.S.C. 2229,Secretary of Defense,annual,not later than the date of the submission of the President's budget request for a fiscal year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2229&num=0&edition=prelim,/us/usc/t10/s2229
10 U.S.C. 2229a(a),Secretary of Defense,annual,Not later than the date of the submission of the President’s budget request for a fiscal year under section 1105 of title 31,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2229a&num=0&edition=prelim,/us/usc/t10/s2229a/a
10 U.S.C. 2229a(b)(1),Comptroller General,event-driven,,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2229a&num=0&edition=prelim,/us/usc/t10/s2229a/b/1
10 U.S.C. 2229a note,,annual,,note,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2229a&num=0&edition=prelim,/us/usc/t10/s2229a/note/0
10 U.S.C. 2229b(d),"the Deputy Secretary of Defense, the Vice Chair of the Joint Chiefs of Staff, and the Commander of the United States Transportation Command, or their representatives",quarterly,Not later than 180 days after the date of the enactment of this section,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2229b&num=0&edition=prelim,/us/usc/t10/s2229b/d
10 U.S.C. 222a(a),each officer specified in subsection (b),annual,not later than 10 days after the date on which the budget of the President for a fiscal year is submitted to Congress,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section222a&num=0&edition=prelim,/us/usc/t10/s222a/a
10 U.S.C. 222a(c),the officer specified under subsection (b)(7),annual,,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section222a&num=0&edition=prelim,/us/usc/t10/s222a/c
10 U.S.C. 222a(c)(3)(B),Secretary of Defense,event-driven,,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section222a&num=0&edition=prelim,/us/usc/t10/s222a/c/3/B
10 U.S.C. 222a(d),Secretary of Defense,annual,Not later than 10 days after the receipt of all of the reports referred to in subsection (a),provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section222a&num=0&edition=prelim,/us/usc/t10/s222a/d
10 U.S.C. 222a note,Under Secretary of Defense for Research and Engineering in coordination with the Under Secretary of Defense for Acquisition and Sustainment,annual,at the time the budget of the President for the fiscal year beginning in such year is submitted to Congress,note,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section222a&num=0&edition=prelim,/us/usc/t10/s222a/note/1
10 U.S.C. 222c(a),the chief of staff of each armed force (other than the Coast Guard),annual,At the same time each year that the budget for the fiscal year beginning in such year is submitted to Congress,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section222c&num=0&edition=prelim,/us/usc/t10/s222c/a
10 U.S.C. 222d,Under Secretary of Defense for Acquisition and Sustainment,annual,Not later than 30 days after the submission of all reports required under section 222c(a) of this title,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section222d&num=0&edition=prelim,/us/usc/t10/s222d
10 U.S.C. 222e,Secretary of Defense,annual,not later than 30 days after the submission of the budget of the President for the fiscal year beginning in such year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section222e&num=0&edition=prelim,/us/usc/t10/s222e
10 U.S.C. 222f,Secretary of Defense,annual,Not later than 10 days after the date on which the budget of the President for a fiscal year is submitted to Congress,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section222f&num=0&edition=prelim,/us/usc/t10/s222f
10 U.S.C. 223a,Secretary of Defense,annual,In the budget justification materials submitted to Congress in support of the Department of Defense budget for any fiscal year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section223a&num=0&edition=prelim,/us/usc/t10/s223a
10 U.S.C. 2246,Secretary of the military department concerned,annual,not later than the last day of that fiscal year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2246&num=0&edition=prelim,/us/usc/t10/s2246
10 U.S.C. 227,each Secretary of a military department,annual,along with the budget for each fiscal year submitted by the President,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section227&num=0&edition=prelim,/us/usc/t10/s227
10 U.S.C. 2276a(e),the Secretary of a military department,annual,not later than 90 days after the last day of each such fiscal year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2276a&num=0&edition=prelim,/us/usc/t10/s2276a/e
10 U.S.C. 2278(a)(2),the Commander,monthly,not later than the tenth day of each month following the month in which the first notice under paragraph (1) was provided,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2278&num=0&edition=prelim,/us/usc/t10/s2278/a/2
10 U.S.C. 2279b(e),"Council on Oversight of the Department of Defense Positioning, Navigation, and Timing Enterprise",annual,At the same time each year that the budget of the President is submitted to Congress under section 1105(a) of title 31,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2279b&num=0&edition=prelim,/us/usc/t10/s2279b/e
10 U.S.C. 229(a),Secretary of Defense,annual,as part of the documentation that supports the President’s annual budget,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section229&num=0&edition=prelim,/us/usc/t10/s229/a
10 U.S.C. 229(c)(2),the Secretary,annual,as part of the budget display under subsection (a) for any fiscal year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section229&num=0&edition=prelim,/us/usc/t10/s229/c/2
10 U.S.C. 229 note,Secretary of Defense,annual,as part of the budget justification materials submitted to Congress in support of the President’s budget for a fiscal year or a request for supplemental appropriations,note,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section229&num=0&edition=prelim,/us/usc/t10/s229/note/1
10 U.S.C. 231(a),Secretary of the Navy,annual,with the defense budget materials for a fiscal year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section231&num=0&edition=prelim,/us/usc/t10/s231/a
10 U.S.C. 231(d),Secretary of Defense,annual,with the defense budget materials for a fiscal year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section231&num=0&edition=prelim,/us/usc/t10/s231/d
10 U.S.C. 231a(a),Secretary of Defense,annual,Not later than 30 days after the date on which the President submits to Congress the budget for a fiscal year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section231a&num=0&edition=prelim,/us/usc/t10/s231a/a
10 U.S.C. 233a,Secretary of Defense,annual,Not later than 10 days after the date on which the budget of the President for a fiscal year is submitted to Congress,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section233a&num=0&edition=prelim,/us/usc/t10/s233a
10 U.S.C. 2350j(f),Secretary of Defense,annual,January 15 each year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2350j&num=0&edition=prelim,/us/usc/t10/s2350j/f
10 U.S.C. 2350m,Secretary of Defense,annual,not later than 30 days after the end of each fiscal year in which the authority under this section is in effect,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2350m&num=0&edition=prelim,/us/usc/t10/s2350m
10 U.S.C. 2350p,Secretary of Defense,annual,not later than 15 days after the date on which the Secretary of Defense makes the certification,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2350p&num=0&edition=prelim,/us/usc/t10/s2350p
10 U.S.C. 236,Secretary of Defense,annual,each fiscal year after fiscal year 2014,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section236&num=0&edition=prelim,/us/usc/t10/s236
10 U.S.C. 237,Secretary of Defense,annual,as a part of the documentation that supports the President’s annual budget,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section237&num=0&edition=prelim,/us/usc/t10/s237
10 U.S.C. 238,Secretary of Defense,annual,not later than five days after the submission by the President under section 1105(a) of title 31 of the budget (electronic); 21 days (print),provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section238&num=0&edition=prelim,/us/usc/t10/s238
10 U.S.C. 2392,Secretary of the Air Force (or a designee),quarterly,"Not later than 90 days after the date of the enactment of this section, and quarterly thereafter; and not later than seven days after the effective date of a change",provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2392&num=0&edition=prelim,/us/usc/t10/s2392
10 U.S.C. 239e,Secretary of Defense,annual,each of fiscal years 2025 through 2030,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section239e&num=0&edition=prelim,/us/usc/t10/s239e
10 U.S.C. 240d,independent external auditors,annual,each year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section240d&num=0&edition=prelim,/us/usc/t10/s240d
10 U.S.C. 240i,Under Secretary of Defense (Comptroller),annual,not later than 10 days after the date on which the budget of the President for a fiscal year is submitted to Congress,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section240i&num=0&edition=prelim,/us/usc/t10/s240i
10 U.S.C. 2464(d),Secretary of Defense,biennial,April 1 of each even-numbered year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section2464&num=0&edition=prelim,/us/usc/t10/s2464/d
